/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981017.0151   ,   280   ,   Lawmaker: Britain must question Gen. Pinochet about killings   ,    LONDON (AP) _ An influential lawmaker from the governing LaborParty on Saturday backed Spanish requests to question formerChilean dictator Gen. Augusto Pinochet in London for back surgeryon allegations of genocide and terrorism.
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981017.0306   ,   425   ,   British police arrest Pinochet on murder charges   ,    LONDON (AP) _ British police said Saturday they have arrestedformer Chilean dictator Gen. Augusto Pinochet on allegations ofmurdering Spanish citizens during his years in power.Pinochet 82 in London for surgery was held Friday night after
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981017.0477   ,   614   ,   British police arrest Pinochet on murder charges   ,    LONDON (AP) _ Eight years after his turbulent regime endedformer Chilean strongman Gen. Augusto Pinochet is being called toaccount by Spanish authorities for the deaths detention andtorture of political opponents.
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981017.0507   ,   131   ,   British police arrest Pinochet on Spanish warrant   ,    LONDON (AP) _ Former Chilean dictator Gen. Augusto Pinochet hasbeen arrested by British police on a Spanish extradition warrantdespite protests from Chile that he is entitled to diplomaticimmunity.
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981018.0410   ,   367   ,   Castro disagrees with arrest of Pinochet   ,    OPORTO Portugal (AP) _ President Fidel Castro said Sunday hedisagreed with the arrest in London of former Chilean dictatorAugusto Pinochet calling it a case of ``international meddling.''
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981104.0772   ,   264   ,   Germany reports terrorist threat against U.S. embassy   ,    BONN Germany (AP) _ German police raided several locations nearBonn after receiving word of a terrorist threat against the U.S.Embassy but no evidence of a planned attack was found officialssaid Wednesday.
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981105.0282   ,   494   ,   Bin Laden `hero' to some who warn U.S. against his capture   ,    ISLAMABAD Pakistan (AP) _ An Islamic militant group on Thursdaythreatened to retaliate if Saudi dissident Osama bin Laden isarrested and described Washington's No. 1 enemy as a ``hero'' toMuslims worldwide.
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981106.0520   ,   681   ,   Car bomb explodes; Israel suspends ratification of peace accord   ,    JERUSALEM (AP) _ A car bomb exploded Friday in a Jerusalemmarket crowded with Israelis shopping for the Sabbath. The blastkilled two apparently the assailants and wounded 21 Israelis. Inresponse Israel's Cabinet suspended implementation of the new
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/APW19981106.0572   ,   871   ,   Car bomb explodes; Israel suspends ratification of peace accord   ,    JERUSALEM (AP) _ A car bomb blew up Friday in a Jerusalem marketcrowded with Israelis shopping for the Sabbath. The blast killedtwo assailants wounded 21 Israelis and prompted Israel to suspend
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/NYT19981017.0177   ,   1044   ,   PINOCHET   ,    BUENOS AIRES Argentina _ Gen. Augusto Pinochet who ruled Chileas a despot for 17 years has been arrested in London after Spainasked that he be extradited for the presumed murders of hundreds of
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/NYT19981018.0098   ,   592   ,   PINOCHET'S ARREST PUTS BLAIR'S GOVERNMENT IN A TIGHT SPOT   ,    LONDON _ Gen. Augusto Pinochet the former Chilean dictatorarrested here at the request of a Spanish judge remainedsequestered under police guard Sunday awaiting a potentiallydevastating court hearing to weigh his extradition on charges of
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/NYT19981018.0123   ,   824   ,   A MAVERICK SPANISH JUDGE'S TWO-YEAR QUEST FOR PINOCHET'S ARREST   ,    PARIS _ A stubbornly independent judge who more than once haschallenged the Spanish government Baltasar Garzon was ridiculedwhen he first set out to pursue the most notorious right-wing
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/NYT19981018.0160   ,   655   ,   IN SANTIAGO NEWS OF PINOCHET'S ARREST STIRS ONLY SMALL PROTEST   ,    SANTIAGO Chile _ Perhaps as a sign of how much Chileans wish toforget their years of polarized politics and repression under Gen.Augusto Pinochet the immediate popular response here to the
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/NYT19981018.0185   ,   608   ,   ACCUSED OFFICIALS HAVE FEWER PLACES TO HIDE   ,    WASHINGTON _ The arrest of Gen. Augusto Pinochet shows thegrowing significance of international human-rights law suggestingthat officials accused of atrocities have fewer places to hidethese days even if they are carrying diplomatic passports legal
/Users/admin/Desktop/Graduate/Binghamton/Courses/Information_Retrival/Project/Project3/docs/d30003t/~$ked7summaryFile.txt   ,   5   ,      ,    
